"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"762","RT @rosammat: @RBI @mediatrack_in @paranjoygt @suchetadalal @sonaliranade @nsitharaman @PUCLindia @mkssindia @cpimspeak @SitaramYechury @Ra…",FALSE,0,NA,2020-06-01 11:46:01,FALSE,NA,"1267422145694466048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","radhikabijoyini",2,TRUE,FALSE,NA,NA
"763","RT @RahulGandhi: The violence in this video is not isolated. It’s an expression of what many Indian women have always faced. The violence c…",FALSE,0,NA,2020-06-01 11:45:56,FALSE,NA,"1267422122944724993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mubeen60659553",15747,TRUE,FALSE,NA,NA
"764","When people talk, listen 

completely :)

@RahulGandhi https://t.co/bG1gaMyq22",FALSE,1,NA,2020-06-01 11:45:54,FALSE,NA,"1267422115512320000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IYCDarshanulli",1,FALSE,FALSE,NA,NA
"765","<U+0001F64F> @ashokgehlot51 
@DIPRRajasthan 
@RahulGandhi 
@GovindDotasra
linear chanel should follow in principal DPC… https://t.co/LaQRW0mFIQ",FALSE,9,NA,2020-06-01 11:45:52,TRUE,NA,"1267422108834906112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandeepsen_7",13,FALSE,FALSE,NA,NA
"766","Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principa… https://t.co/8PwZRdUxsd",FALSE,11,NA,2020-06-01 11:45:48,TRUE,NA,"1267422089088303104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HariSin26192277",18,FALSE,FALSE,NA,NA
"767","@Thakur_IJSingh @DickDarryl @zoo_bear @DMKanpur @narendramodi @IndianMedAssn @DrHVoffice @JAFARKAZMI @alok_jagdhari… https://t.co/2PNHgA4ztN",FALSE,0,"Thakur_IJSingh",2020-06-01 11:45:47,TRUE,"1267177310463156224","1267422087850811393","2472116462","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","singhvan21",0,FALSE,FALSE,NA,NA
"768","RT @advocatefalguni: Oh really is @smritiirani missing from Amethi, in that case @RahulGandhi can take the charge and do something for the…",FALSE,0,NA,2020-06-01 11:45:46,FALSE,NA,"1267422081102123009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinaymanral90",9,TRUE,FALSE,NA,NA
"769","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:45:45,FALSE,NA,"1267422078891962368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VIJAYSI0588",48,TRUE,FALSE,NA,NA
"770","RT @Karnara01928088: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:45:42,FALSE,NA,"1267422063029104642",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ruchirabijar",23,TRUE,FALSE,NA,NA
"771","RT @DrMdJawaid1: A tribute by @Zarif_Hosain’s team to @srinivasiyc and his @IYC team. Their dedication and hard work and incompetence of th…",FALSE,0,NA,2020-06-01 11:45:39,FALSE,NA,"1267422050718605312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zarif_Hosain",13,TRUE,FALSE,NA,NA
"772","RT @gorishankarIND: Two words that best describe this govt: #JhootAndJumlaSarkar 

@INCIndia @RahulGandhi
@priyankagandhi @ashokgehlot51
@r…",FALSE,0,NA,2020-06-01 11:45:38,FALSE,NA,"1267422047065571328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaheshMahaw",5,TRUE,FALSE,NA,NA
"773","RT @iMac_too: Who's funding him, Pappu ji @RahulGandhi?",FALSE,0,NA,2020-06-01 11:45:22,FALSE,NA,"1267421980204163073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Captsandeep2",106,TRUE,FALSE,NA,NA
"774","But @INCIndia does not have the guts to go after Modi.

#StepDownModi 

@ahmedpatel @salman7khurshid @ShashiTharoor… https://t.co/pniTKMLtls",FALSE,1,NA,2020-06-01 11:45:17,TRUE,NA,"1267421958888542210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CuteCentrist",0,FALSE,FALSE,NA,NA
"775","RT @AmitabhAAV: I voted for @RahulGandhi @INCIndia in 2019. I will vote for him again in 2024 or whenever the next elections take place.

W…",FALSE,0,NA,2020-06-01 11:45:06,FALSE,NA,"1267421914667954177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheikhnasar1982",35,TRUE,FALSE,NA,NA
"776","RT @DrMdJawaid1: A tribute by @Zarif_Hosain’s team to @srinivasiyc and his @IYC team. Their dedication and hard work and incompetence of th…",FALSE,0,NA,2020-06-01 11:45:06,FALSE,NA,"1267421913778814976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AabidMagami",13,TRUE,FALSE,NA,NA
"777","RT @BhagchandBajiy5: Honourable
@ashokgehlot51 <U+0938><U+093E><U+0939><U+092C>
@1stIndiaNews
@aajtak
@BBCBreaking
It is necessary to promote 'brain gain ' in educatio…",FALSE,0,NA,2020-06-01 11:45:03,FALSE,NA,"1267421902911438848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajendr39566336",14,TRUE,FALSE,NA,NA
